timestep,producer-19-production,producer-20-production,producer-24-production,producer-25-production
0,6175.660459930976,6321.28155138363,3676.700521926509,6635.015965426045
1,3468.6234083704767,3995.002529606573,2234.481270871153,3735.2262163130313
2,2847.6356523936106,3839.9759218630174,2011.4401279433348,3284.009456530406
3,2853.7660075334547,3559.621920420398,2178.5475331141124,3184.0603882072146
4,2928.4321632503256,3337.0518958034945,2042.525436652736,3492.90992149108
5,2649.0568368594054,3342.8414879533907,1916.5745313674604,2981.2684093442003
6,2761.326089837956,3289.421696948624,2051.1642193559865,3400.108302435855
7,2769.55768336037,3397.0573484876327,1738.949555505118,3366.5469154860925
8,2738.287942051452,3140.971564695283,2006.597894050339,3126.801508167869
9,2776.7902991280707,3061.098202430198,1912.064666876519,3231.3102083957506
10,2705.9643651722326,3291.6983768138675,1849.29456761829,3328.657199208564
11,2504.855466065568,3119.5612655059963,1885.3505641492163,3220.576931464053
12,2497.6890267576946,3195.286516833919,1880.7413048083388,3277.538687914631
13,2493.61374115087,3037.44898606257,1904.5602560177008,3127.780797155149
14,2721.547808593725,3212.772845505332,1898.6796513588968,2929.932742507116
15,2408.9570313386484,3228.604670552589,1928.964546024858,2965.6749370413395
16,2553.695834884426,3050.2618058380326,1841.411970873652,3086.2952884870706
17,2466.3150294790894,3040.268599209928,1709.6221316383258,3002.465604706837
18,2266.567112998317,3210.6763534021497,1710.3714035541043,3040.9050156648755
19,2272.5046117064044,2922.457713250188,1738.283216040072,2954.1880279963257
20,2345.5907564684885,3194.8452766271184,1822.1220396241104,3258.0325709418685
21,2453.8771262044047,3009.4366865270385,1758.9993415904637,2967.9409065327704
22,2406.817905587088,3062.739303672791,1639.7702663915336,2769.1564626245395
23,2235.056958395799,2744.0614049637943,1718.662151885415,3085.6890446121006
24,2098.318963573832,2984.09477337292,1762.7789656031869,2979.3044541209515
25,2086.540745893231,2790.022083758284,1615.6737705941896,3261.385043507121
26,2148.354994723658,2674.906672049089,1712.2490492590623,2919.982786444425
27,2247.226970368496,2821.6306060894053,1581.1733764568137,3016.3996301112984
28,2364.292832617976,2836.627397866532,1705.422346710283,3062.599299586417
29,2234.417845648131,2983.388715640695,1714.350607185862,2895.0362102786366
30,2273.9215430761064,2937.962462813432,1618.6290699590295,2908.8261788944947
31,2182.6546992583226,2828.735174506353,1794.6734098446286,3114.815529906444
32,2026.179676569471,2793.493544083713,1569.993290413669,2926.456319132217
33,2074.5645727028614,2777.8956432674927,1669.657924198656,3408.9442202727746
34,2194.918875097795,2543.3961848614827,1667.776534312858,2769.312442789584
35,2118.1002941634224,2712.856027252322,1779.5836320830067,2792.501472864314
36,2090.334293028397,2862.383471073498,1645.8056200509834,2771.3168608310243
37,2028.329639985976,2630.285740533375,1707.972643958693,3022.6219067282186
38,2025.7243780274384,2799.31872329288,1713.878677503726,3136.139983358489
39,2229.047850564672,2545.782155113231,1501.9040611196633,3034.161769471815
40,2112.632362120308,2674.0124480093464,1631.491347229071,2753.808636234823
41,1951.2277329820204,2557.935754455448,1691.5648918138436,2953.426077959404
42,2110.4240491855835,2608.5686820578885,1676.029847532139,2999.620130001511
43,1907.12139218674,2586.6250582865373,1618.148068467467,3007.882462602372
44,1997.5685024803115,2411.434378145701,1579.3983386976156,2642.6727249326464
45,1883.121264869313,2638.9443139124896,1554.151544007818,2715.403006885994
46,2059.5249826040053,2759.452279995194,1681.1020505711858,2929.111626081947
47,2157.3405981217293,2469.855542546974,1631.1149954602238,2830.1115261108066
48,1786.975822936263,2592.537547543836,1501.6953605846452,2759.4629228911185
49,1971.77903141176,2230.447829154956,1656.8802404287226,2553.732275542361
50,1749.3111002835403,2416.736632037314,1542.3085539041233,2924.469173162529
51,1907.854836041796,2377.4534938224697,1561.740983049028,2937.650456679163
52,1977.1513406588133,2261.917678367501,1732.6872585245503,2717.0004307877184
53,1874.160862944541,2700.1746005364,1532.8297902039264,2642.649682213245
54,1847.437635056565,2487.0062441211467,1672.1283183507342,2722.8636585547533
55,1834.6091062024232,2289.2380522874114,1542.065095794652,2811.517453116992
56,1879.9189102915068,2552.399372200826,1692.723221892322,2719.0230419355566
57,1975.592508346689,2290.066488485912,1491.499754184739,2704.410238535343
58,1941.1687883824989,2582.434062047081,1561.5193420922776,2499.0934267366674
59,1776.762307787239,2426.411295053866,1467.9258364095429,2821.246524842488
60,1878.1228300813093,2644.744499790979,1589.4899017587943,3000.946577864586
61,1772.130625306558,2483.045527236446,1491.906537915302,2693.177606909245
62,1780.3326823170205,2327.744661482257,1625.019742403164,2873.221240618712
63,1808.1832217055703,2549.769829961251,1544.4074925715029,2694.8675397594548
64,1895.2334497170968,2332.456817407804,1580.882187626673,2796.5678363949382
65,1749.8695323572915,2477.7196329416097,1575.2238543025082,2819.1380076910905
66,1885.2123208300463,2544.582400842223,1568.2528508002972,2507.9355904662275
67,1881.6321399860192,2685.748864360776,1632.1041914219977,2402.5948508260244
68,1632.2528645545228,2459.632232161013,1483.5855725187484,2731.903060948297
69,1579.901183423117,2326.658931882854,1398.7628295171942,2511.2439755279947
70,1750.4497496315512,2126.162486535049,1558.871805644115,2738.281579663626
71,1681.005848328159,2339.001576696968,1512.872900647982,2834.588552919065
72,1988.5589248889723,2188.806226484141,1460.57382184591,2808.668020494721
73,1802.609954504648,2397.9706572955324,1450.0535735912972,2706.837019929441
74,1919.5744360545552,2251.2416271917773,1582.9181305980662,2761.4951419589324
75,1630.7895840472056,2088.199523149296,1364.878215573372,2387.3023821577817
76,1723.5737404251515,2063.8021223331543,1344.3046035792815,2566.6021008325984
77,1803.3502720728857,2335.9636763085978,1486.4844388654883,2519.720495884243
78,1799.4001071105847,2443.6061612638614,1547.876088157745,2404.258486179698
79,1714.1462085351004,2399.432451883693,1478.1215759585962,2357.17009561959
80,1666.9824351005932,2581.6444046182605,1520.1587487107593,2520.248336342949
81,1596.2060527455735,2373.8221198856604,1489.4262085964651,2346.2363384183795
82,1654.2678257741352,2055.3811074391056,1566.5159514599782,2508.6227696688507
83,1712.4318022861407,2456.904429222184,1402.9341069295294,2421.2687169460414
84,1780.1946917716105,2282.7575300665712,1389.6589881842658,2487.421732986362
85,1698.5585181572728,2184.366077521921,1476.428999902071,2776.597679830296
86,1612.3563792681832,2192.609161374222,1489.0517699869963,2656.0340212586666
87,1712.6278051434358,2184.8596015079643,1563.339655420853,2574.4348176219764
88,1786.8170834078162,2216.201303631143,1389.9294449665497,2512.1894367996047
89,1766.061053536799,2262.2692837459126,1411.0540747279133,2499.4177110512246
90,1835.4604839856013,2170.939316322773,1417.3420263881924,2564.5020784598423
91,1759.1255527195651,2271.644861488531,1523.741033578958,2597.0555638494006
92,1712.6636036268935,2102.022489866873,1423.867522778546,2488.911970426409
93,1697.5753943547738,2381.991572319924,1369.8932878790129,2459.6126816809883
94,1643.251554134286,2046.64305005066,1400.997777977774,2423.9875937378943
95,1772.9237679751918,2216.192584933891,1458.0915642746197,2149.96805237728
96,1682.4483095146477,1936.5964145826968,1418.5983270821514,2455.548007069709
97,1687.583752418626,2237.6228036846774,1523.9307319426043,2421.222289636861
98,1579.4094395162315,2324.5687862703307,1282.677477458925,2423.153534445697
99,1507.7781547211212,2149.1731666319724,1504.813399743902,2392.325657853636
100,1741.2443203368969,2322.123814463131,1344.1320595531254,2321.405288567848
101,1573.0708580745784,2047.9655579987464,1422.8301115180914,2489.5307153237004
102,1537.0060233672918,1904.7269937485228,1412.1497550591491,2525.340474117356
103,1613.7574735615117,1993.3783586508969,1404.8980400714968,2351.211724263319
