timestep,injector-1-production,injector-1-pressure,injector-2-production,injector-2-pressure,injector-3-production,injector-3-pressure,injector-4-production,injector-4-pressure,injector-5-production,injector-5-pressure,injector-6-production,injector-6-pressure,injector-7-production,injector-7-pressure,injector-8-production,injector-8-pressure,injector-9-production,injector-9-pressure,injector-10-production,injector-10-pressure,injector-11-production,injector-11-pressure,injector-12-production,injector-12-pressure,injector-13-production,injector-13-pressure,injector-14-production,injector-14-pressure,injector-15-production,injector-15-pressure,injector-16-production,injector-16-pressure,injector-17-production,injector-17-pressure,injector-18-production,injector-18-pressure,injector-19-production,injector-19-pressure,injector-20-production,injector-20-pressure,injector-21-production,injector-21-pressure,injector-22-production,injector-22-pressure,injector-23-production,injector-23-pressure,injector-24-production,injector-24-pressure,injector-25-production,injector-25-pressure,injector-26-production,injector-26-pressure,injector-27-production,injector-27-pressure,injector-28-production,injector-28-pressure,injector-29-production,injector-29-pressure,injector-30-production,injector-30-pressure,injector-31-production,injector-31-pressure,injector-32-production,injector-32-pressure,injector-33-production,injector-33-pressure,injector-34-production,injector-34-pressure,injector-35-production,injector-35-pressure,injector-36-production,injector-36-pressure,producer-1-production,producer-1-pressure,producer-2-production,producer-2-pressure,producer-3-production,producer-3-pressure,producer-4-production,producer-4-pressure,producer-5-production,producer-5-pressure,producer-6-production,producer-6-pressure,producer-7-production,producer-7-pressure,producer-8-production,producer-8-pressure,producer-9-production,producer-9-pressure,producer-10-production,producer-10-pressure,producer-11-production,producer-11-pressure,producer-12-production,producer-12-pressure,producer-13-production,producer-13-pressure,producer-14-production,producer-14-pressure,producer-15-production,producer-15-pressure,producer-16-production,producer-16-pressure,producer-17-production,producer-17-pressure,producer-18-production,producer-18-pressure,producer-19-pressure,producer-20-pressure,producer-21-production,producer-21-pressure,producer-22-production,producer-22-pressure,producer-23-production,producer-23-pressure,producer-24-pressure,producer-25-pressure
0,1083.2477650317103,39645.04358467044,1126.3292807250866,40837.53978764497,1054.457117613773,39697.2022830792,1032.0943115562686,42106.84966115616,1089.5449531070694,43935.56825135494,1096.737823759354,42197.559163019614,1064.615363356843,41140.99706252311,1093.244264228298,39766.67609959791,1014.3317196414414,39852.80751129241,1113.9307828312822,38073.86865350218,1081.3941990371663,41996.25813870809,1071.982132968428,41711.32319679411,1161.1184857855774,41869.8050960002,1083.2858366517632,40678.24350532811,1107.312783515824,41559.69923968767,1143.8059029330298,40264.43465795224,1053.9607671006816,40774.46193824606,1074.0388567224124,37849.76864625771,1070.0329650127994,45747.23818811003,1051.1973740324574,46580.71351798533,1051.0103796216993,44816.79653453069,1009.045719669116,40022.46688225922,1047.028891327965,39543.24502568472,1058.055119952781,38242.07366583265,1073.3035870437805,49810.794351626886,1125.174805759065,53746.85192456624,999.655752636414,46328.28455183139,1049.7785278621382,41625.6570876914,1108.4408598519258,41318.37435571497,1077.9517743846686,38336.7823196253,1095.9079900317022,43133.4177106353,956.0357559882242,45518.32316910623,961.6347057239996,46113.079945439225,1134.1496349344393,40917.83741158792,1144.2810496573882,39187.61379791923,1102.946872457765,38585.72033742812,6446.263569229408,5077.042501808109,6242.625934830368,4931.520104393692,6596.194700183205,4981.345412543485,5389.089698774881,5037.158163035552,3574.15127714485,5064.728836732866,6476.371698249377,5031.504529996286,6713.955643123424,5066.418253503233,7684.756665362167,5049.616784780029,6390.779649551946,5050.8172765911295,4108.365551820629,5022.440564304643,3890.109751259935,5012.453562642031,4695.592171241122,5037.986615910666,4723.843633649497,4962.659939786104,7118.20565517408,5007.125816909554,6264.196216343888,4998.625578750523,3400.5738278129656,4903.756315563003,3194.0140215119964,5108.741215978628,4268.667758948746,5038.875367350736,4929.65737190341,5003.238830489832,2915.200247508503,5020.411333450672,2218.813356964887,5085.045855561979,3977.113321133531,4928.374212336509,4896.475820935914,5055.318627227122
1,1060.5438375368556,43353.13328701758,1092.549916106624,44105.888065551095,1025.4347167269168,42598.55835757442,998.6955353352909,45576.3280850122,1133.2966664918931,47295.14393881335,1106.379067966,46835.91140249286,1139.7583650007102,44197.65798034097,1048.9558575066062,42954.44008311078,1174.1709856160508,42382.10479796182,1135.2016262935017,41150.48147020309,1138.6073009489787,45908.1342010998,1004.6091862287888,45644.3915351558,1037.0383213107732,45572.94947955016,1186.5788450056086,43764.920914367576,1052.001946849202,44371.46059956525,1056.309439787221,43707.23999362785,1054.8026232111922,45776.547705215926,1096.8808111034946,42369.79830232944,1057.1919671522812,48932.18610537607,1023.3787747521816,49494.15950173158,1015.5974465610842,48651.3884405716,990.4610127270436,43199.63357067415,1062.0587107396843,41917.60012127888,1061.7394469573069,40232.18663679429,1040.930337224685,52443.78696499124,1046.799021143848,55932.03330910281,1082.0474118139866,49730.395911089945,1163.4186405726753,44339.79209074323,1103.8439616028322,42925.51490920539,1122.2387289821672,39802.60918659918,1092.1346456289627,44666.345224100536,1116.670494339994,48405.31182150337,1080.0366416406623,49310.94544606587,1057.952621791152,45768.98052430248,1105.7319257779327,41424.215118151165,957.4566354867112,41735.0822132143,4207.958651387323,4901.409175644325,3487.8135324584687,4989.427265350415,3748.0075910282767,5032.317842539764,3172.44853258996,4977.406251945232,2485.972316212636,4966.459052071664,4480.146601287105,5006.811725559226,3912.19046419308,4941.325749293184,4233.866551429585,4945.30120896697,3488.4530014808934,4942.658492731491,2224.5448839245787,4968.892192334895,2811.1159564427785,5109.217905445708,2825.1280339515124,5072.541603098688,2776.492558997319,4988.899996527689,3855.6904385003054,5010.190632179855,4090.877701489424,4969.287869440122,2468.0574246759056,4952.729484317704,2113.8111044512625,4987.916904791879,2812.2803257597207,5064.851263908416,4985.329215554699,5004.781899074905,2421.6824523867854,5080.372099277844,1755.2212466251483,5047.818595096817,2690.685174986337,5018.435054689464,4972.669681346208,5062.780065150198
2,1113.184077966096,43467.05480682806,1175.7942904865297,43995.30179596488,1056.308025446933,42955.18288454471,1036.480084003829,45723.15632686645,1146.7925899571,47804.11513807784,1098.2021016991018,46341.80047322099,1029.3622323243385,44175.37716076215,1107.5458000217743,43402.0256612122,1068.4707843125875,42117.417564846495,1152.6521896784795,41863.346580620906,1104.6778729331888,46233.35006092662,1112.4909432071695,46440.221267724846,1121.1578826389043,45121.83875527859,1087.5950574394635,44035.24476501938,1103.0972529155042,44174.2494177757,1019.2257945932832,44204.58428084669,1097.8310988350863,44261.81085582636,1101.9599687285051,42290.6268530652,977.0198818037218,50125.054070560094,1124.6540474207177,51032.17628508605,1087.3431593748053,50103.75572785724,1089.3641165621125,43489.86656019974,1001.904863464349,42058.22299824637,972.4712026684564,40816.02897944917,981.026636222254,51782.92768454875,1068.0474104140196,56186.212720503216,1044.0202407530155,49951.762706418,1127.7924604594627,44725.31899945557,1127.6847510828602,43739.19209715142,1068.274265306469,40537.92771090339,1058.23233694218,44961.85453295391,1107.0717848712743,49487.17428110025,1060.8543471961318,48264.727436841546,1042.2913616625533,44502.43367609789,1012.6457867645224,41730.69505246427,1082.4387457518883,41904.40988370309,3622.768702326268,4946.964839905997,3133.9787202650773,5063.692577541568,3419.428629509271,4973.868672796444,3172.676859709672,5013.771210768358,2092.3575499887056,5064.669385042921,3860.523214186114,5058.847287073684,4067.703131388197,5000.5544081500975,3524.054825158344,5012.9789152444855,3060.908441989221,4911.020274303529,2153.952918234497,5057.070141815086,2434.7431334829107,5042.682274314379,2771.9272350904607,5082.879750192415,2749.1859171226306,4966.903111667541,3666.987763718557,4966.470043873262,3603.360720205672,5009.93630918895,2366.859128557156,5004.979542607542,2023.6932484343813,5018.234206391052,2909.199229324905,4987.396594538936,5086.1490414416585,4951.92108047309,2202.1794086777004,5026.567533859587,1653.6378144806292,4918.70062671437,2619.264070405572,4910.369247662213,4884.785226957218,4969.552962163163
3,1111.4505789471443,43814.56153627678,1010.985855598815,44142.72247030948,1133.6246473511706,43589.4389468942,1110.2027610584075,46146.87644496339,1099.763988263194,47989.32048192523,1075.3156795296763,45899.89377416381,1009.881243973527,44065.6199726197,948.3702790235044,43670.35079464089,1116.4977447951749,41979.15627620167,1151.094392037065,41182.68298937904,1069.4475368136575,45181.51661911945,1111.1193203424434,46398.61592973796,1046.072158704076,44659.56221032616,1101.440777174094,42899.47921446584,1111.69485915418,45178.476436218174,1014.2971258440236,43284.76658615252,1158.1018611561835,44736.58891445943,1093.533531814486,41613.83495567383,1044.3258547036417,50616.57641648748,1120.8528580201269,49465.27161405489,1058.9340436756772,49813.435041729645,1150.964030991255,43234.49083353694,1059.3300506509504,41791.486611806096,1056.8996671979903,40064.39539388176,1172.6187339783132,52975.83628457934,1145.9776044075732,55164.43586876126,1119.4642302141203,49129.62675451022,981.8494236198014,44610.917806493824,1039.2953738141248,42729.45688987315,1082.9576534433731,41711.86049401416,1051.9682215797943,44205.4232490435,1046.0534944509704,48901.9499786957,1076.6048504613784,48606.57439487184,1147.5520275875444,45574.63293370625,1157.1152165815222,41570.85638013396,933.3478378752628,42036.47853511864,3081.6157402225763,4994.5119700987625,3364.944258475303,4971.100723514897,3564.735854194181,4967.786539466967,3196.675638237919,5008.862161674078,2132.6395988896497,5054.577182548505,3847.284529000836,5013.483259650049,3865.628826362814,4956.514123057998,3361.188801649472,4975.849796747792,3179.324591242762,4989.98817623973,2265.88714222648,4951.202210788438,2735.535311386336,5006.754725670358,2659.819811076208,5070.994809834167,2362.3087654659216,5010.587086066997,4082.96890686236,4969.935782012044,3933.7052304870112,5022.303529556164,2311.022761203215,5001.363965175778,2030.4232246516167,4992.371704456787,2666.861540895436,5047.857943378511,5042.214802595368,5031.570342828758,2301.654368481787,5003.3680713874655,1639.203818057607,4986.566424765217,2415.868097788816,4931.843728341097,5075.167262345361,4956.972840230601
4,1081.1043452762774,44330.07921573003,1112.7444401463854,43724.76867925541,1090.2037960526234,42889.60539983018,1171.4116139124535,45794.72928360471,1146.283861370531,47678.097209946245,1056.2202515622066,46513.7663019961,1090.439881294296,43267.4828941016,1137.5216500494157,42924.75976182354,1084.29413239485,41827.16021231717,1076.3323199811632,40754.71284074094,1107.4815566443087,45644.32402590109,973.9885619790468,47042.39215546072,967.9164866707172,44355.77096162328,1036.140707075072,43144.490767141455,1058.7124579745637,44168.59794982325,1114.918761740172,43247.46378766479,1141.8420727648313,44283.64687801537,1079.1410410360484,42275.62849771145,1106.294919826886,50030.65344767111,1091.1190538479334,49874.18184582605,1069.326092623562,49452.767036079,1208.3419005619978,43218.97763865063,1112.88190626654,42016.15731311562,1100.9513935584312,40451.96714525984,1011.3271696254274,53401.22735404966,1082.9937691095192,54823.82207279693,1020.6430167116376,49606.79494571767,1068.0942874302757,43643.887014158434,1056.9092203027126,42423.56019925898,1152.9394451512946,41011.65723161584,1048.2099486415534,45065.17255290109,1020.5296155210724,48879.85646171455,1090.0178876165646,49573.30600444921,1026.7289424792182,45151.6945690199,1105.2604030578457,41213.53476643834,1094.129132971654,42242.771041434586,3559.161277496288,4820.20426297299,3253.820375890429,5044.212364049241,3661.212646205017,5053.313669172993,3033.218350939294,4968.4529728097705,2217.5272233950404,4951.042316983554,3924.7069429003454,5070.138435181636,3221.8730875254546,5004.069600525692,3561.298510266716,4982.658275448164,3063.0816070949027,5035.051729204929,2249.9796680794,4976.564973340597,2731.984203297952,5032.593983748065,2849.955868792644,4968.767458506651,2582.533146727542,5023.502328247325,3741.201285001431,5018.696930909755,3669.426855878882,5066.536547750185,2399.984433177126,4975.701109861352,2184.128511449011,4982.839364054849,2275.429808497292,4924.627934827696,4958.880176147459,4976.317357393399,2382.147287681755,5023.896954064703,1622.680261270278,4979.406742663425,2517.159546898125,5043.87593412159,4999.42649841432,5014.692158133008
5,1064.904311268318,43529.43675400686,1092.6063101388288,43909.23234459997,1063.2941349171078,43405.93937614706,1116.2031179064682,45150.904538835326,1072.6166108668883,47749.489561070615,1071.7402051702247,47051.26758497125,1122.6612287467335,43972.859942674135,1102.491453199699,42237.18464103987,1184.6338828487992,41294.130655680165,1073.1458396903458,40268.71595710186,1004.938590056995,45777.71973501104,1068.8691621658097,46848.42270426492,1150.2899367909938,44707.71536614645,1139.23016346415,42907.80943468913,1122.9701851639393,44027.55000851682,1118.9266976459216,42512.609704631664,1125.554198819077,43764.610498266695,1054.4554477619624,41410.01240082977,1174.1786826969485,49743.73774737978,1152.8202010009402,49755.65149536704,1137.1863715652632,50087.40662030647,952.5947392055114,43228.65093119681,1117.66509478001,41149.3928525111,1199.2769727971895,40186.58396665162,1037.0218029424932,52602.55654973784,1116.726482518353,55349.53693493412,1082.2437767435663,49534.56425663952,1121.638353531917,43718.8146621274,1093.6908849983356,43246.09559794646,1088.4141888187723,41560.91167771612,1146.794983241644,45627.982446106646,986.1877964805076,49317.71209856994,1056.7133129479028,49521.88273904184,1132.653917451827,45302.162657750494,1029.5894791211222,41133.09935358505,1086.256317788543,41814.43803160549,3358.576691459757,4983.147775869516,3087.3228433915524,4961.047692763466,3409.3428885988883,4958.63822014357,2786.013609582578,5052.739407706105,2166.840259102273,4985.9618253498165,3772.982379329161,4966.264850578118,3348.526867237228,5014.012956514593,3322.207488802196,4934.575118815179,2914.827996218461,4938.129727156007,2073.530751155976,5086.317392791,2548.4043716426354,5068.3249522593,2564.1565988349544,4976.776952790315,2565.9008284795023,4988.583235420613,3886.0167852222826,5039.995616426788,3584.8825812469654,5028.71502385405,2393.5336918759235,5018.059174698204,1929.6957595721408,4974.300014707223,2431.7387839912794,4951.459496777573,5010.053891621529,4941.0027793926665,2112.529886763652,4959.013544311133,1646.396472168005,5008.305870613192,2620.84950833054,4957.26027001258,5073.217466803014,5068.762559080083
6,1069.2772641770175,43622.3350413539,998.1203143490674,44414.60571457533,1020.351737341914,42730.27375600371,1094.9693580538217,45380.614046892406,1157.61855878552,48447.59969430943,1141.3353305169876,47504.22687674336,962.4113891376924,43423.64383780095,1043.7827195144027,40983.20813412614,1134.3877010888225,40797.284080709935,1075.8511141209672,39556.05807479617,1057.429407313286,46044.85672819506,1146.3269929281173,46883.787025101614,1164.2808945739202,44541.11120512772,1066.0415236342951,41440.73773406572,1008.6100739370062,43496.89409294848,1065.0949248903505,41761.36548205382,1006.9842399307222,43951.943280559375,1152.639970302051,41325.53430506137,984.9877633953564,49919.21792494803,1162.8708321068557,49016.29943527799,994.6551644648006,49023.50254817264,1023.5537730174954,41995.42960049673,1107.878871923975,40720.217738086525,1009.774157523655,40119.34800963808,1067.674333328464,52725.178966001535,1024.052625026669,56009.63305366328,1132.1996357121534,49790.96523807464,1070.6052030540045,43422.644839356886,1079.368442449594,41268.77223491343,1093.7707346422017,40640.98720093769,1111.5283562438633,46179.5412490425,1115.2859902939365,49949.31703820055,1072.34310168329,48826.18685357648,1088.2367861386,45527.70760806255,1044.716309156979,41294.86500684471,1104.8093683100433,43134.16525580989,3115.039761882941,4948.357082629731,3022.903102135947,4985.621228983037,3084.324307819104,4974.798967206596,3118.2042775905043,4993.067670256811,2017.4090548560528,4978.21098623679,3519.02101971578,5016.099212191628,3415.9062977969465,5042.242620902198,3366.043709587221,4913.293486004718,3027.9722562679985,5020.32359364824,2315.810992987064,5084.0616676859045,2383.7212017181314,5015.046734887164,2248.1904151734566,4958.149812155682,2559.760414733866,4987.814818907991,3901.7698746608553,4940.566510132917,3388.261774406097,5042.622755836655,2383.0171109622443,4941.928950919402,2170.763954921185,4954.595508012233,2602.283879448754,4998.939759326142,4985.492547590017,5020.04147942962,2287.291595477874,5074.1565194652085,1480.035117869351,4966.2600586173385,2512.521710191126,4998.258314683764,5007.19123442678,5071.199678542089
7,1019.8920969414736,43549.11321081705,1079.804254946571,43891.80873657281,1192.749983563686,41991.18823829736,1167.9162757018655,46103.878542318125,1055.5763939613048,48988.08022992746,1111.4530216945095,47520.83389483799,1106.9020180616003,44003.369259260005,1077.7009629692354,41792.67167587224,1129.313530781027,40466.384358348754,1190.5688050616368,39735.35556707063,1155.206132766283,44908.93768419112,1021.5372327478968,47434.245118308645,1011.7669563999298,44025.49604428042,1165.7025405458055,41450.00735516821,965.4738514404628,42898.27581548951,1042.2003209518657,42165.70537895928,1079.652119722898,43183.90121527525,1074.7695225348843,41348.0401595958,1079.2071264686112,48969.921432032206,986.5042482071186,49274.72594213253,1032.767327961076,49751.73762640079,1117.9971767107209,42038.1517677472,1038.60880644365,40506.92514511474,1101.8947442460062,40765.96883586154,1157.2294729078485,52972.23723735769,1087.852616665839,55867.69519277471,1165.963157467763,48082.57092437237,1050.4650033865294,42045.95770537732,1081.388493335386,41170.17539532729,1112.223778678771,40355.8865401448,1119.0840620226863,46893.852513302445,1072.6840698560516,49376.95071311799,1125.881549574557,48709.28952586412,1019.6352922610146,44778.7939034459,1065.1955734937308,40257.361043887824,1047.2321759290114,42340.54248026722,3297.1112748665287,4952.220935406948,2863.9009723206213,5034.120107201697,3317.5281603233007,5071.359573721969,2583.8023336634988,5025.710593690796,2258.022415245437,4993.5275651576,3679.011731627904,4996.522183346613,3070.2564831007,5009.874529990419,3093.089667997946,4976.54040853092,2952.169900044038,4938.52437641407,2265.8046257206265,5068.755657432159,2785.7820880889944,4985.895337767971,2249.2749804467976,4974.760053151591,2412.8453872437785,4903.745205261102,3448.0042912827007,5020.543723877336,3607.104563217333,5117.690023349692,2227.1695841208752,5001.089586672706,1922.835247590654,4981.206297125762,2644.5449997702644,4926.103076504128,5062.956872407749,5052.71414253969,2247.246328506653,5001.441190417366,1425.9898794175,4912.993473720301,2524.10822007666,4997.165867137289,4985.908836010844,5035.03291449057
8,1050.4363686469571,43285.08460396267,1049.1042093443552,43606.9934418202,1089.4678583455086,41475.87037361151,1089.9890946674293,46271.37374220411,1113.1294723530912,47656.89528445727,1053.020989937345,47780.63626193829,1099.952678021653,42685.222233410444,1073.9133105288145,40821.4717063368,1092.4670717779975,40636.85382143145,1154.5027913781046,39539.77255299806,1062.6752753990486,44202.67548861442,994.738788498593,46733.81789594089,1008.677891603287,44268.12293023144,959.1372832693633,42031.35299781391,1037.586996070919,42960.696226631,1062.4951235597457,40747.92396753273,1010.4770090496952,42794.04161654032,1100.831965681493,41130.00395774744,1029.884861987594,50430.98280480822,1056.960975794012,48698.945656706346,996.2333164169164,48728.33712751824,1117.6671636565002,41702.14894737101,962.6758437868756,40031.8667508615,1069.308607259089,39809.17922988797,1008.9091373834268,53626.55340048466,1146.287475413597,55717.328724358886,1154.350456121315,48180.36499897393,1084.9787051170836,42141.86064733625,1017.2402764595172,41245.28989604898,1046.1590212877943,40756.84694423736,1090.0968432851428,45514.31965320562,1070.9438521068596,49240.44393541402,1041.9718019977308,48849.351893275634,1046.186451537486,44853.366887510885,987.5960409468424,40753.49484010122,1070.4638145634024,41748.40200891584,3312.155105392665,4951.3788635442725,3108.0967614845663,4958.542156942009,3229.0027998984265,4962.845356919486,3069.2105044739183,5008.833351116966,2102.046284762084,4955.165586000746,3841.31706542628,5046.728430157595,2879.801755805506,4945.506216307379,3009.530779389629,5099.382430224146,2478.3793324178737,5016.965044526055,2049.5318885778,4952.740028269412,2701.001754522051,5082.88603241553,2505.887778889383,5053.4304803260575,2544.987162941997,5082.735973436329,3796.2245747744473,5008.016008234263,3732.422700055023,5070.433122196136,2066.191538423004,4960.30958568999,1916.341279465128,5071.150746977114,2284.637905512008,4995.533708589157,4914.128565036563,5015.371774694627,2338.153450552836,4951.712305306267,1708.8102825701562,5050.1238731252015,2282.999917759921,4929.090173028536,5016.74210667051,5018.73522662878
9,1070.3953106396038,42942.73741078576,1086.8573183576111,42972.03484458618,1026.4030456440926,41510.24377938124,1078.8929811803832,45461.972384597655,1194.0195151396892,47993.18746852208,1180.749813149973,47409.07998974585,1009.577788140134,43596.83000288692,1135.413428106735,41336.17268961757,1138.997935319532,40361.30533928844,995.130932303742,38457.21968718203,1094.792335402567,44879.336014809865,1031.1764830485918,47332.03462613671,990.3591133236404,43888.20100673943,1043.1850419555462,41019.83464971124,1089.470422178925,42323.09098581634,1091.9521727410995,41619.73092172701,1096.273797265044,42588.370155600445,1053.9455025213813,42129.12053526496,1113.3094755572222,50215.28320416451,1044.2991974554984,48789.45708062854,1157.026131783624,48646.5969461895,970.3990594987704,39968.349517884126,1112.1007239194823,39839.551015496894,1064.1706974376743,39127.88403588181,1024.6749097710615,52317.7828375545,1100.6118722830236,55777.81221904293,1071.1922025984727,47919.67803245812,1049.8147253619788,42184.603174691874,1054.437781315757,40672.83631738345,1142.850962468504,40536.08753318706,1092.089351721858,45835.5047784356,1061.2292922339916,48559.54502014972,1045.3462680659657,48753.93504359334,1054.5615193702522,44383.358555094506,1190.4933901380773,41578.40265248482,1020.730950263965,42701.65260220185,3592.5605689094727,4960.740946348518,2805.344505999706,5036.42666555121,3360.647813505525,5050.74233895822,2833.944296129745,4929.320393757417,2125.240371651591,4920.027694622728,3617.857268073795,4998.163591413263,3050.38345265313,4945.70204241665,2974.492741660325,5033.709156719772,2873.809749920268,5045.701062335897,2117.92165058619,5056.315887756096,2646.7015610418366,5070.953952127331,2308.062677357199,5128.114893334144,2551.9595661368103,4945.989734225836,3662.2013274267138,5039.263878189387,3245.8129035210327,4983.696259469024,2085.851307582032,4989.087391924079,2025.4036010002053,5026.841523166863,2384.0461571513697,5036.842448074091,4956.71230233525,4906.16998539711,2467.119597081691,5029.219958625811,1625.3526920068675,4996.686244963988,2333.823332804274,4931.817024873462,5000.6109552288135,4986.580565014807
